Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1869.4217452681382.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1927.5552430921896.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1927.5552430921896.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 1943.3506960670156.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 1943.3506960670156.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1947.314317987644.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1947.314317987644.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1976.4682949831083.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1976.4682949831083.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2018.7943809607532.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 2018.7943809607532.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2025.2068907071498.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2025.2068907071498.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2034.6416454862.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2034.6416454862.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2103.0994634266553.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2103.0994634266553.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2117.644601767616.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2117.644601767616.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2137.685765673717.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2137.685765673717.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2141.728047880211.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2141.728047880211.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2180.992036146161.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2180.992036146161.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2202.321142866276.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 2202.321142866276.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2248.8144502742216.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2248.8144502742216.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2258.820908552124.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2258.820908552124.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2258.8846088656665.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2258.8846088656665.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2332.0208352804184.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2332.0208352804184.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2336.777181585172.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2336.777181585172.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2355.9008526682323.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2355.9008526682323.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2385.847904771799.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 2385.847904771799.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2399.9972153366316.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2399.9972153366316.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2414.6697543046776.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2414.6697543046776.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2462.987255062243.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2462.987255062243.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2492.562327024183.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2492.562327024183.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2526.35590488712.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2526.35590488712.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2541.1735221211393.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2541.1735221211393.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2569.3746666773222.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 2569.3746666773222.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2570.073657456254.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2570.073657456254.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2570.4548997436887.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2570.4548997436887.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2648.347472463194.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2648.347472463194.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2677.1600598502646.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2677.1600598502646.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2682.349828905647.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2682.349828905647.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2720.690974493821.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2720.690974493821.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2726.2400451826998.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2726.2400451826998.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2752.9014285828453.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 2752.9014285828453.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2784.2464622442753.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2784.2464622442753.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2804.1326179022053.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2804.1326179022053.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 2823.5261356901547.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 2823.5261356901547.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 2882.025190621711.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 2882.025190621711.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 2891.332864638286.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 2891.332864638286.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2915.0260441005225.
Junction.s_ent_j.5 	 jump for 0.0 	 Car.c.82 	 at time 2915.0260441005225.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2915.0260441005225.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 2915.0260441005225.
Transport.n_t_w_0.54 	 moves for 3057.1276207454503 	 Car.c.82 	 at time 2915.0260441005225.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 2915.0260441005225.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 2936.4281904883683.
